Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie runtime,Movie languages (Freebase ID:name tuples),Movie countries (Freebase ID:name tuples),Movie genres (Freebase ID:name tuples),tmdb_id,collection_name,collection_id,vote_count,vote_average,genres,budget,run_time,tmdb_origin_country,tmdb_original_language,Movie release date corrected,release_year,movie_order,box_office,profit,years_diff_bt_pre_movies,CPI,real_revenue,real_budget,real_profit,ratio_revenue_budget,num_genres,collection_size
30809,/m/07k_8,The Thing,1982-06-25,108.0,"{""/m/05f_3"": ""Norwegian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror""}",1091.0,The Thing Collection,479888.0,6937.0,8.064,"['Horror', 'Mystery', 'Science Fiction']",15000000.0,109.0,['US'],en,1982-06-25,1982,1.0,19629760.0,4629760.0,,290.0,43984254.74033673,33610386.530709036,10373868.209627695,1.3086506666666666,3,2
31176,/m/07ntq,The Parent Trap,1961,129.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/01z4y"": ""Comedy""}",19186.0,The Parent Trap Collection,216395.0,367.0,7.0,"['Comedy', 'Family']",,129.0,['US'],en,1961-01-01,1961,1.0,25150385.0,25150385.0,,89.8,56354277.41640977,,,,2,4
34130,/m/08720,WarGames,1983-06-03,114.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction""}",860.0,WarGames Collection,151263.0,1853.0,7.1,"['Thriller', 'Science Fiction', 'Drama']",12000000.0,114.0,['US'],en,1983-06-03,1983,1.0,79567667.0,67567667.0,,299.3,178286669.5477828,26888309.224567227,151398360.32321557,6.630638916666668,3,2
42993,/m/0bt4g,Back to the Future,1985-07-03,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/09n5t_"": ""Americana"", ""/m/09kqc"": ""Humour"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/0hqxf"": ""Family Film""}",105.0,Back to the Future Collection,264.0,19840.0,8.317,"['Adventure', 'Comedy', 'Science Fiction']",19000000.0,116.0,['US'],en,1985-07-03,1985,1.0,383874862.0,364874862.0,,323.2,860145499.4161726,42573156.272231445,817572343.1439412,20.203940105263158,3,3
45772,/m/0cf08,Rocky,1976-11-21,120.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01cgz"": ""Boxing"", ""/m/01z02hx"": ""Sports"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/03pgfj"": ""New Hollywood""}",1366.0,Rocky Collection,1575.0,7812.0,7.788,['Drama'],1000000.0,120.0,['US'],en,1976-11-21,1976,1.0,225000000.0,224000000.0,,171.0,504155797.96063554,2240692.4353806023,501915105.52525496,225.00000000000003,1,6
46505,/m/0ckt6,Airplane!,1980-07-02,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3n0w"": ""Ensemble Film"", ""/m/01hwc6"": ""Absurdism"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/01drsx"": ""Disaster"", ""/m/02l7c8"": ""Romance Film"", ""/m/01xpvb7"": ""Airplanes and airports""}",813.0,Airplane Collection,91663.0,4440.0,7.3,['Comedy'],3500000.0,88.0,['US'],en,1980-07-02,1980,1.0,83453539.0,79953539.0,,247.6,186993713.54304007,7842423.523832108,179151290.01920795,23.843868285714287,1,2
49800,/m/0d6_s,Lara Croft: Tomb Raider,2001-06-15,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan"", ""/m/07ssc"": ""United Kingdom"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",1995.0,Tomb Raider Collection,2467.0,6021.0,5.9,"['Adventure', 'Fantasy', 'Action', 'Thriller']",115000000.0,100.0,['US'],en,2001-06-15,2001,1.0,274703340.0,159703340.0,,532.1,615525695.9117856,257679630.06876928,357846065.8430163,2.388724695652174,4,2
50744,/m/0ddjy,Star Wars Episode VI: Return of the Jedi,1983-05-25,135.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/070yc"": ""Space opera"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action""}",1892.0,Star Wars Collection,10.0,15597.0,7.898,"['Adventure', 'Action', 'Science Fiction']",32350000.0,132.0,['US'],en,1983-05-25,1983,3.0,475106177.0,442756177.0,3.0,299.3,1064566816.8064975,72486400.28456248,992080416.521935,14.68643514683153,3,6
50793,/m/0ddt_,Star Wars Episode I: The Phantom Menace,1999-05-19,136.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/0hqxf"": ""Family Film""}",1893.0,Star Wars Collection,10.0,14526.0,6.556,"['Adventure', 'Action', 'Science Fiction']",115000000.0,136.0,['US'],en,1999-05-19,1999,4.0,1027044677.0,912044677.0,16.0,500.6,2301291238.551814,257679630.06876928,2043611608.4830449,8.930823278260869,3,6
50957,/m/0dfw0,Star Wars Episode II: Attack of the Clones,2002-05-16,142.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/070yc"": ""Space opera"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/01xpr_s"": ""Movies About Gladiators"", ""/m/0hqxf"": ""Family Film""}",1894.0,Star Wars Collection,10.0,13157.0,6.6,"['Adventure', 'Action', 'Science Fiction']",120000000.0,142.0,['US'],en,2002-05-16,2002,5.0,649398328.0,529398328.0,3.0,540.5,1455101921.098411,268883092.2456723,1186218828.8527389,5.411652733333333,3,6
